Rank,Head,F1 Drop (Contribution),Accuracy Drop
1,6,0.008918032718539526,0.010526315789473717
2,3,-0.01118226963693636,0.0
3,7,-0.0388628868325257,-0.021052631578947323
4,0,-0.04379246755907873,-0.03157894736842104
5,1,-0.07641887136308734,-0.04210526315789476
6,2,-0.06177863136269579,-0.04210526315789476
7,5,-0.05771966575881993,-0.04210526315789476
8,8,-0.06725223638412647,-0.05263157894736836
9,4,-0.08802012948108107,-0.06315789473684208
