Rank,Head,F1 Drop (Contribution),Accuracy Drop
1,3,0.021002796228519194,0.03157894736842104
2,7,0.011489966981775068,0.03157894736842104
3,1,-0.01471027825497273,0.010526315789473717
4,2,0.015346294335924826,0.010526315789473717
5,4,0.008918032718539526,0.010526315789473717
6,5,0.0,0.0
7,8,-0.02954502927393421,-0.021052631578947323
8,0,-0.048259701709114755,-0.03157894736842104
9,6,-0.06725223638412647,-0.05263157894736836
