Rank,Head,F1 Drop (Contribution),Accuracy Drop
1,1,0.0023758948917075307,0.021052631578947323
2,6,0.0,0.0
3,0,-0.014955376294188416,-0.010526315789473717
4,7,-0.014955376294188416,-0.010526315789473717
5,8,-0.00898627622090209,-0.010526315789473717
6,3,-0.02954502927393421,-0.021052631578947323
7,5,-0.02954502927393421,-0.021052631578947323
8,2,-0.04379246755907873,-0.03157894736842104
9,4,-0.04379246755907873,-0.03157894736842104
