Rank,Head,Mean F1 Drop,Mean Accuracy Drop
1,1,0.010910329040265086,0.009868421052631578
2,0,0.008001389313809205,0.005263157894736841
3,7,0.007489723325415799,0.005263157894736841
4,8,0.004013581484235362,0.0026315789473684154
5,3,0.0026887183129006356,0.001973684210526301
6,5,0.0007029024210948691,0.0003289473684210398
7,4,0.00020779120315597352,0.0
8,2,-0.0008011202767678159,-0.0006578947368421038
9,6,-0.002213864154631189,-0.001644736842105251
