Rank,Head,Mean F1 Drop,Mean Accuracy Drop
1,1,0.006440116253893145,0.004605263157894737
2,0,0.005905681301471382,0.0039473684210526265
3,3,0.004526594410992325,0.002960526315789483
4,7,0.004504460105860902,0.002960526315789462
5,2,0.0015242284156227921,0.000986842105263161
6,4,-0.0008247653191484107,-0.0006578947368421073
7,8,-0.0018449896591650264,-0.0013157894736842146
8,5,-0.0017839087151437123,-0.0013157894736842146
9,6,-0.0017961249039479751,-0.0013157894736842146
