Rank,Head,Mean F1 Drop,Mean Accuracy Drop
1,5,0.0047921250993831,0.0036184210526315763
2,8,0.004785195536285598,0.0032894736842105227
3,7,0.0011901891619227126,0.002302631578947372
4,2,-0.005257660821113813,-0.0026315789473684327
5,4,-0.007619674378157373,-0.0039473684210526196
6,1,-0.007808516636847618,0.0059210526315789415
7,6,-0.009714213369998226,-0.004934210526315801
8,3,-0.009839854158218773,-0.004276315789473677
9,0,-0.014966695992727833,-0.010197368421052629
