Rank,Head,Mean F1 Drop,Mean Accuracy Drop
1,1,-0.0029813086846865525,0.031249999999999997
2,8,-0.004079425718778663,0.0
3,7,-0.008664537198240285,0.005263157894736827
4,5,-0.011903913578257774,-0.005263157894736834
5,3,-0.028233734033393153,-0.01085526315789474
6,2,-0.028561013893731745,-0.01578947368421053
7,4,-0.03136855020703634,-0.014802631578947352
8,6,-0.03831014790113173,-0.022039473684210515
9,0,-0.04256753278808595,-0.023026315789473673
